tax_id,Org_name,GeneID,CurrentID,Status,Symbol,Aliases,description,other_designations,map_location,chromosome,genomic_nucleotide_accession.version,start_position_on_the_genomic_accession,end_position_on_the_genomic_accession,orientation,exon_count,OMIM,Class
9606,Homo sapiens,5243,0,live,ABCB1,"ABC20, CD243, CLCS, GP170, MDR1, P-GP, PGY1",ATP binding cassette subfamily B member 1,"ATP-dependent translocase ABCB1|ATP-binding cassette, sub-family B (MDR/TAP), member 1|P-glycoprotein 1|colchicin sensitivity|doxorubicin resistance|multidrug resistance protein 1|phospholipid transporter ABCB1",7q21.12,7,NC_000007.14,87503017,87713295,minus,32,171050,ADHD
9606,Homo sapiens,9509,0,live,ADAMTS2,"ADAM-TS2, ADAMTS-2, ADAMTS-3, EDSDERMS, NPI, PC I-NP, PCI-NP, PCINP, PCPNI, PNPI",ADAM metallopeptidase with thrombospondin type 1 motif 2,"A disintegrin and metalloproteinase with thrombospondin motifs 2|a disintegrin-like and metalloprotease (reprolysin type) with thrombospondin type 1 motif, 2|procollagen I N-proteinase|procollagen I/II amino propeptide-processing enzyme|procollagen N-endopeptidase",5q35.3,5,NC_000005.10,179110853,179345461,minus,23,604539,ADHD
9606,Homo sapiens,23284,0,live,ADGRL3,"CIRL3, CL3, LEC3, LPHN3",adhesion G protein-coupled receptor L3,adhesion G protein-coupled receptor L3|CIRL-3|calcium-independent alpha-latrotoxin receptor 3|latrophilin homolog 3 (cow)|latrophilin-3|lectomedin 3,4q13.1,4,NC_000004.12,61201230,62078335,plus,32,616417,ADHD
9606,Homo sapiens,450087,0,live,ADHD1,,"Attention deficit-hyperactivity disorder, susceptibility to, 1",,16p13,16,,,,,,608903,ADHD
9606,Homo sapiens,450088,0,live,ADHD2,,"Attention deficit-hyperactivity disorder, susceptibility to, 2",,17p11,17,,,,,,608904,ADHD
9606,Homo sapiens,450089,0,live,ADHD3,LOAS,"Attention deficit-hyperactivity disorder, susceptibility to, 3",,6q12,6,,,,,,608905,ADHD
9606,Homo sapiens,450090,0,live,ADHD4,,"Attention deficit-hyperactivity disorder, susceptibility to, 4",,5p13,5,,,,,,608906,ADHD
9606,Homo sapiens,100190790,0,live,ADHD5,,"Attention deficit-hyperactivity disorder, susceptibility to, 5",,2q21.1,2,,,,,,612311,ADHD
9606,Homo sapiens,100190791,0,live,ADHD6,,"Attention deficit-hyperactivity disorder, susceptibility to, 6",,13q12.11,13,,,,,,612312,ADHD
9606,Homo sapiens,9370,0,live,ADIPOQ,"ACDC, ACRP30, ADIPQTL1, ADPN, APM-1, APM1, GBP28","adiponectin, C1Q and collagen domain containing",adiponectin|30 kDa adipocyte complement-related protein|adipocyte complement-related 30 kDa protein|adipose most abundant gene transcript 1 protein|adipose specific collagen-like factor|gelatin-binding protein 28,3q27.3,3,NC_000003.12,186842710,186858463,plus,4,605441,ADHD
9606,Homo sapiens,147,0,live,ADRA1B,"ADRA1, ALPHA1BAR",adrenoceptor alpha 1B,"alpha-1B adrenergic receptor|adrenergic, alpha-1B-, receptor|alpha-1B adrenoceptor|alpha-1B adrenoreceptor",5q33.3,5,NC_000005.10,159916482,159989205,plus,7,104220,ADHD
9606,Homo sapiens,150,0,live,ADRA2A,"ADRA2, ADRA2R, ADRAR, ALPHA2AAR, ZNF32",adrenoceptor alpha 2A,"alpha-2A adrenergic receptor|adrenergic, alpha-2A-, receptor|alpha-2 adrenergic receptor subtype C10|alpha-2-adrenergic receptor, platelet type|alpha-2A adrenoceptor|alpha-2A adrenoreceptor|alpha-2AAR subtype C10",10q25.2,10,NC_000010.11,111077029,111080907,plus,1,104210,ADHD
9606,Homo sapiens,255239,0,live,ANKK1,"PKK2, sgK288",ankyrin repeat and kinase domain containing 1,ankyrin repeat and protein kinase domain-containing protein 1|X-kinase|protein kinase PKK2|sugen kinase 288,11q23.2,11,NC_000011.10,113386014,113400416,plus,10,608774,ADHD
9606,Homo sapiens,57492,0,live,ARID1B,"6A3-5, BAF250B, BRIGHT, CSS1, DAN15, ELD/OSA1, MRD12, OSA2, P250R",AT-rich interaction domain 1B,AT-rich interactive domain-containing protein 1B|ARID domain-containing protein 1B|AT rich interactive domain 1B (SWI1-like)|BRG1-associated factor 250b|BRG1-binding protein ELD/OSA1|ELD (eyelid)/OSA protein,6q25.3,6,NC_000006.12,156776026,157210779,plus,25,614556,ADHD
9606,Homo sapiens,406,0,live,ARNTL,"BMAL1, BMAL1c, JAP3, MOP3, PASD3, TIC, bHLHe5",aryl hydrocarbon receptor nuclear translocator like,"aryl hydrocarbon receptor nuclear translocator-like protein 1|ARNT-like protein 1, brain and muscle|PAS domain containing 3|PAS domain-containing protein 3|bHLH-PAS protein JAP3|basic helix-loop-helix family member e5|basic-helix-loop-helix-PAS orphan MOP3|basic-helix-loop-helix-PAS protein MOP3|brain and muscle ARNT-like 1|class E basic helix-loop-helix protein 5|member of PAS protein 3|member of PAS superfamily 3|testis tissue sperm-binding protein Li 50e",11p15.3,11,NC_000011.10,13276552,13387268,plus,25,602550,ADHD
9606,Homo sapiens,411,0,live,ARSB,"ASB, G4S, MPS6",arylsulfatase B,arylsulfatase B|N-acetylgalactosamine-4-sulfatase,5q14.1,5,NC_000005.10,78777209,78986087,minus,15,611542,ADHD
9606,Homo sapiens,9048,0,live,ARTN,"ART, ENOVIN, EVN, NBN",artemin,artemin|neublastin,1p34.1,1,NC_000001.11,43933801,43937240,plus,5,603886,ADHD
9606,Homo sapiens,57412,0,live,AS3MT,CYT19,arsenite methyltransferase,arsenite methyltransferase|S-adenosyl-L-methionine:arsenic(III) methyltransferase|S-adenosylmethionine:arsenic (III) methyltransferase|arsenic (+3 oxidation state) methyltransferase|methylarsonite methyltransferase|methyltransferase cyt19,10q24.32,10,NC_000010.11,102869470,102901899,plus,11,611806,ADHD
9606,Homo sapiens,435,0,live,ASL,ASAL,argininosuccinate lyase,argininosuccinate lyase|argininosuccinase|arginosuccinase,7q11.21,7,NC_000007.14,66075819,66093576,plus,16,608310,ADHD
9606,Homo sapiens,9914,0,live,ATP2C2,SPCA2,ATPase secretory pathway Ca2+ transporting 2,"calcium-transporting ATPase type 2C member 2|ATPase 2C2|ATPase, Ca++ transporting, type 2C, member 2|secretory pathway Ca(2+)-ATPase 2|secretory pathway calcium ATPase 2",16q24.1,16,NC_000016.10,84368523,84465777,plus,32,613082,ADHD
9606,Homo sapiens,553,0,live,AVPR1B,"AVPR3, V1bR",arginine vasopressin receptor 1B,vasopressin V1b receptor|AVPR V1b|AVPR V3|antidiuretic hormone receptor 1B|arginine vasopressin receptor 3|pituitary vasopressin receptor 3|vasopressin V3 receptor,1q32.1,1,NC_000001.11,206106936,206117388,minus,2,600264,ADHD
9606,Homo sapiens,53335,0,live,BCL11A,"BCL11A-L-S, BCL11A-XL, BCL11a-M, CTIP1, DILOS, EVI9, HBFQTL5, ZNF856, BCL11A",BAF chromatin remodeling complex subunit BCL11A,"B-cell lymphoma/leukemia 11A|B cell CLL/lymphoma 11A|B-cell CLL/lymphoma 11A (zinc finger protein)|BCL11A B-cell CLL/lymphoma 11A (zinc finger protein)|BCL11A, BAF complex component|C2H2-type zinc finger protein|COUP-TF-interacting protein 1|ecotropic viral integration site 9 homolog|ecotropic viral integration site 9 protein homolog|zinc finger protein 856",2p16.1,2,NC_000002.12,60450520,60553654,minus,9,606557,ADHD
9606,Homo sapiens,627,0,live,BDNF,"ANON2, BULN2",brain derived neurotrophic factor,brain-derived neurotrophic factor|abrineurin|neurotrophin,11p14.1,11,NC_000011.10,27654893,27722030,minus,12,113505,ADHD
9606,Homo sapiens,658,0,live,BMPR1B,"ALK-6, ALK6, AMDD, BDA1D, BDA2, CDw293",bone morphogenetic protein receptor type 1B,"bone morphogenetic protein receptor type-1B|BMP type-1B receptor|BMPR-1B|activin receptor-like kinase 6|bone morphogenetic protein receptor, type IB|serine/threonine receptor kinase",4q22.3,4,NC_000004.12,94757955,95158453,plus,18,603248,ADHD
9606,Homo sapiens,675,0,live,BRCA2,"BRCC2, BROVCA2, FACD, FAD, FAD1, FANCD, FANCD1, GLM3, PNCA2, XRCC11",BRCA2 DNA repair associated,"breast cancer type 2 susceptibility protein|BRCA1/BRCA2-containing complex, subunit 2|Fanconi anemia group D1 protein|breast and ovarian cancer susceptibility gene, early onset|breast and ovarian cancer susceptibility protein 2|breast cancer 2 tumor suppressor|breast cancer 2, early onset|mutant BRCA2|truncated BRCA2 DNA repair-associated protein|truncated DNA repair-associated BRCA2|truncated breast cancer 2",13q13.1,13,NC_000013.11,32315508,32400268,plus,27,600185,ADHD
